ID,Target Pressure (bar)
0,0.24022497757685277
1,0.23821641229345383
2,0.33241834345163546
3,0.3017538674632355
4,0.2660041276114922
5,0.19065868322208313
6,0.14686401064926838
7,0.15986726571379758
8,0.2834208456787909
9,0.603758739420562
10,0.6267539983899488
11,0.6937401785250793
12,0.7616317859093656
13,0.7613503899688823
14,0.7745583477901599
15,0.8214937324059366
16,0.8383895646740946
17,0.8457577041779423
18,0.5832987153265425
19,0.6078884591572301
20,0.6468278887896881
21,0.6395467358172163
22,0.6220869185653639
23,0.540069933321807
24,0.4504644843887541
25,0.4601468631458973
26,0.49892579603052684
27,0.10610534258865319
28,0.0757462130831428
29,0.06683447506224922
30,0.03300919111247776
31,0.026082463817688955
32,0.029753433816001554
33,0.030926085508107628
34,0.02128077613387742
35,0.027943654990840436
36,0.44006245045418374
37,0.24172451976930895
38,0.1663249906010665
39,0.5693344025759326
40,0.25382175784742705
41,0.18364225302617995
42,0.3016847378782822
43,0.12617199764078138
44,0.10510372917858277
45,0.23634430486177313
46,0.1444140014761125
47,0.11510269632664785
48,0.08047629101379696
49,0.0676144099978244
50,0.05121848652878546
51,0.09174789489423171
52,0.05311439058728796
53,0.04478874893054143
54,0.10935679872868721
55,0.12846736005058995
56,0.13467451673109115
57,0.09663874052621273
58,0.11492062466351535
59,0.13041041764391648
60,0.06829597734051511
61,0.07872217762941369
62,0.09668174036281328
63,0.6720320329388971
64,0.6651733259693153
65,0.48206882484955377
66,0.6816847578688422
67,0.6792933469250506
68,0.5056996911450569
69,0.5094324155427825
70,0.5180602039949064
71,0.40996015920494466
72,0.3680128570071872
73,0.3752970026217014
74,0.3005832922210943
75,0.21028012256972667
76,0.16490138933157644
77,0.1743574817952534
78,0.21018189196608364
79,0.2287004731516394
80,0.18154478255414594
81,0.10775461148810893
82,0.11120626351051617
83,0.13035483699054165
84,0.051958765747258724
85,0.04736823044273565
86,0.043920316020119775
87,0.03262227006923572
88,0.03056411775250391
89,0.048414690700663725
90,0.523073822287275
91,0.5301486948284708
92,0.395517275504907
93,0.388281683649669
94,0.3512287115056863
95,0.2281027764587449
96,0.2380015369961584
97,0.2263823731293999
98,0.1397822706511757
99,0.3515926246295042
100,0.3409836576995626
101,0.24377526527545704
102,0.19933371801387098
103,0.10628717036334748
104,0.0819434675017158
105,0.09235544747553631
106,0.0896743872617316
107,0.07808457411961321
